Matchweek,Match_Date,Home_Team,Away_Team,Win,log_ratio_Value,Cup_Home,Cup_Away,Winvalue,Home_Performance,Away_Performance,Home_Diff_Goals,Away_Diff_Goals
1,2021-08-21,Internazionale,Genoa,H,1.6275719380662899,0,0,2,0.0,0.0,0,0
1,2021-08-23,Cagliari,Spezia,D,0.6151856390902335,0,0,1,0.0,0.0,0,0
1,2021-08-21,Empoli,Lazio,A,-1.1276328174088697,0,0,0,0.0,0.0,0,0
1,2021-08-22,Napoli,Venezia,H,1.7508370547228733,0,0,2,0.0,0.0,0,0
1,2021-08-22,Udinese,Juventus,D,-1.702147310538368,0,0,1,0.0,0.0,0,0
1,2021-08-21,Hellas Verona,Sassuolo,A,-0.5677837829958381,0,0,0,0.0,0.0,0,0
1,2021-08-23,Sampdoria,Milan,A,-1.5078349834617366,0,0,0,0.0,0.0,0,0
1,2021-08-21,Torino,Atalanta,A,-0.6135864972359458,0,0,0,0.0,0.0,0,0
1,2021-08-22,Roma,Fiorentina,H,0.5193519934649972,1,0,2,0.0,0.0,0,0
1,2021-08-22,Bologna,Salernitana,H,0.9402174381958914,0,0,2,0.0,0.0,0,0
2,2021-08-29,Genoa,Napoli,A,-1.5422588162395183,0,0,0,-1.0,1.0,-4,2
2,2021-08-28,Atalanta,Bologna,D,0.9788132116574604,0,0,1,1.0,1.0,1,1
2,2021-08-28,Lazio,Spezia,H,1.3404373909279002,0,0,2,1.0,-0.5,2,0
2,2021-08-29,Milan,Cagliari,H,1.281791478447737,0,0,2,1.0,-0.5,1,0
2,2021-08-28,Fiorentina,Torino,H,0.12213846202012206,0,0,2,-1.0,-1.0,-2,-1
2,2021-08-28,Juventus,Empoli,A,1.8780007268111205,0,0,0,-0.5,-1.0,0,-2
2,2021-08-27,Hellas Verona,Internazionale,A,-1.5534045538934989,0,0,0,-1.0,1.0,-1,4
2,2021-08-29,Salernitana,Roma,A,-1.9469346081025252,0,1,0,-1.0,1.0,-1,2
2,2021-08-27,Udinese,Venezia,H,0.16175010391211608,0,0,2,-0.5,-1.0,0,-2
2,2021-08-29,Sassuolo,Sampdoria,D,0.6882951574554173,0,0,1,1.0,-1.0,1,-1
3,2021-09-11,Empoli,Venezia,A,-0.014103312360636605,0,0,0,0.0,-2.0,-1,-5
3,2021-09-12,Torino,Salernitana,H,1.3054441526174059,0,0,2,-2.0,-2.0,-2,-5
3,2021-09-11,Atalanta,Fiorentina,A,0.49144803521582375,0,0,0,0.5,0.0,1,-1
3,2021-09-12,Roma,Sassuolo,H,0.6418794848617433,0,0,2,2.0,0.5,6,1
3,2021-09-13,Bologna,Hellas Verona,H,0.20294609795094767,0,0,2,0.5,-2.0,1,-3
3,2021-09-12,Sampdoria,Internazionale,D,-1.673915928353078,0,0,1,-1.5,2.0,-1,6
3,2021-09-12,Spezia,Udinese,A,-0.3886579897917832,0,0,0,-1.5,0.5,-5,3
3,2021-09-11,Napoli,Juventus,H,-0.1130603597276106,0,0,2,2.0,-1.5,3,-1
3,2021-09-12,Milan,Lazio,H,0.5565397266100705,0,0,2,2.0,2.0,4,7
3,2021-09-12,Cagliari,Genoa,A,0.17969951472721124,0,0,0,-1.5,-2.0,-3,-5
4,2021-09-19,Lazio,Cagliari,D,0.7252517518376667,1,0,1,1.0,-2.0,5,-4
4,2021-09-19,Empoli,Sampdoria,A,-0.17633756055720343,0,0,0,-1.0,-2.0,-2,-1
4,2021-09-19,Hellas Verona,Roma,H,-1.2096632678575814,0,1,2,-2.0,2.0,-4,7
4,2021-09-18,Salernitana,Atalanta,A,-1.9190306498533518,0,1,0,-2.0,-0.5,-9,0
4,2021-09-20,Udinese,Napoli,A,-1.5890869508107572,0,1,0,1.5,2.0,4,4
4,2021-09-18,Genoa,Fiorentina,A,-0.764478658565375,0,0,0,-1.0,1.0,-4,0
4,2021-09-18,Internazionale,Bologna,H,1.3504584559425512,1,0,2,1.5,1.5,6,2
4,2021-09-19,Venezia,Spezia,A,0.226907885879667,0,0,0,-1.0,-2.0,-4,-6
4,2021-09-17,Sassuolo,Torino,A,-0.00038902937662400286,0,0,0,-0.5,-1.0,0,2
4,2021-09-19,Juventus,Milan,D,0.19382818279218045,1,1,1,-2.0,2.0,-2,6
5,2021-09-21,Atalanta,Sassuolo,H,0.6139755266125699,0,0,2,0.5,-1.5,1,-1
5,2021-09-22,Milan,Venezia,H,1.6700692316583037,0,0,2,1.5,-2.0,6,-5
5,2021-09-23,Torino,Lazio,D,-0.26261107001962514,0,0,1,0.0,0.5,3,5
5,2021-09-23,Roma,Udinese,H,1.330658786601611,0,0,2,1.0,0.5,6,0
5,2021-09-22,Cagliari,Empoli,A,0.402381065571203,0,0,0,-2.0,-2.0,-4,-5
5,2021-09-22,Spezia,Juventus,A,-2.090805300330151,0,0,0,-1.0,-2.0,-5,-2
5,2021-09-23,Sampdoria,Napoli,A,-1.5886028065263065,0,0,0,-1.0,2.0,2,8
5,2021-09-21,Fiorentina,Internazionale,A,-0.8630932795009146,0,0,0,2.0,2.0,1,11
5,2021-09-21,Bologna,Genoa,D,0.27711348212373854,0,0,1,0.5,-2.0,-3,-5
5,2021-09-22,Salernitana,Hellas Verona,D,-0.7372713402449438,0,0,1,-2.0,-1.0,-10,-3
6,2021-09-25,Spezia,Milan,A,-1.8969771175379706,0,0,0,-2.0,2.0,-6,8
6,2021-09-26,Lazio,Roma,H,-0.37887938546549427,0,0,2,0.0,2.0,5,7
6,2021-09-26,Juventus,Sampdoria,H,1.7016631662539172,0,0,2,-1.0,-2.0,-1,-2
6,2021-09-26,Empoli,Bologna,H,-0.4997950329677301,0,0,2,-1.0,0.0,-3,-3
6,2021-09-27,Venezia,Torino,D,-0.850918435028608,0,0,1,-2.0,-0.5,-7,3
6,2021-09-25,Genoa,Hellas Verona,D,-0.07416738417279078,0,0,1,-2.0,-1.5,-5,-3
6,2021-09-26,Udinese,Fiorentina,A,-0.8113067931366141,0,0,0,-0.5,1.0,-1,-1
6,2021-09-26,Napoli,Cagliari,H,1.362559301512307,0,0,2,2.0,-2.0,12,-6
6,2021-09-26,Sassuolo,Salernitana,H,1.3050551232407819,0,0,2,-2.0,-2.0,-2,-10
6,2021-09-25,Internazionale,Atalanta,D,0.371645244285091,0,0,1,2.0,1.5,13,2
7,2021-10-03,Atalanta,Milan,A,-0.20556429939374976,1,1,0,1.0,2.0,2,9
7,2021-10-02,Salernitana,Genoa,H,-0.663103956072153,0,0,2,-2.0,-2.0,-11,-5
7,2021-10-03,Hellas Verona,Spezia,H,0.509653508535813,0,0,2,-2.0,-2.0,-3,-7
7,2021-10-01,Cagliari,Venezia,D,0.3882777532105664,0,0,1,-2.0,-2.0,-8,-7
7,2021-10-03,Sampdoria,Udinese,D,0.00048414428445068636,0,0,1,-2.0,-1.5,-3,-2
7,2021-10-03,Fiorentina,Napoli,A,-0.7777801576741433,0,1,0,2.0,2.0,0,14
7,2021-10-03,Bologna,Lazio,H,-0.6278377844411395,0,1,2,-1.0,1.0,-5,6
7,2021-10-03,Roma,Empoli,H,1.5065122028743638,1,0,2,1.0,0.0,6,-1
7,2021-10-02,Torino,Juventus,A,-1.012978979421876,0,1,0,-1.0,0.0,3,0
7,2021-10-02,Sassuolo,Internazionale,A,-0.9856207708976609,0,1,0,-1.0,1.5,-1,13
8,2021-10-16,Milan,Hellas Verona,H,1.3873236090021577,0,0,2,2.0,-1.0,10,1
8,2021-10-17,Udinese,Bologna,D,-0.3239416166949775,0,0,1,-2.0,0.0,-2,-2
8,2021-10-17,Napoli,Torino,H,0.8999186196942653,0,0,2,2.0,-2.0,15,2
8,2021-10-18,Venezia,Fiorentina,H,-0.9730568970487301,0,0,2,-2.0,1.0,-7,-1
8,2021-10-17,Empoli,Atalanta,A,-1.4786082446251905,0,0,0,-1.0,0.0,-3,1
8,2021-10-17,Genoa,Sassuolo,D,-0.6419511671686289,0,0,1,-2.0,-2.0,-6,-2
8,2021-10-16,Spezia,Salernitana,H,0.2276178317091309,0,0,2,-2.0,-1.0,-11,-10
8,2021-10-17,Juventus,Roma,H,0.37148852393675663,0,0,2,1.0,2.0,1,8
8,2021-10-17,Cagliari,Sampdoria,H,0.22604350501399967,0,0,2,-2.0,-2.0,-8,-3
8,2021-10-16,Lazio,Internazionale,H,-0.7226206715014117,0,0,2,0.0,2.0,3,14
9,2021-10-23,Salernitana,Empoli,A,-0.44042240522816123,0,0,0,-2.0,-2.0,-11,-6
9,2021-10-24,Hellas Verona,Lazio,H,-0.8307838823920871,0,1,2,-2.0,1.0,0,5
9,2021-10-24,Atalanta,Udinese,D,1.3027548283524377,1,0,1,1.0,-2.0,4,-2
9,2021-10-24,Internazionale,Juventus,D,-0.027747237900839185,1,1,1,1.0,2.0,12,2
9,2021-10-22,Sampdoria,Spezia,H,0.3891421340762339,0,0,2,-2.0,-1.0,-5,-10
9,2021-10-24,Fiorentina,Cagliari,H,0.5847791438381638,0,0,2,0.0,-1.0,-2,-6
9,2021-10-22,Torino,Genoa,H,0.6423401965452529,0,0,2,-2.0,-2.0,1,-6
9,2021-10-23,Bologna,Milan,A,-1.18437751105121,0,1,0,-0.5,2.0,-2,11
9,2021-10-24,Roma,Napoli,D,-0.25842816420914616,1,1,1,1.0,2.0,7,16
9,2021-10-23,Sassuolo,Venezia,H,0.850529405651984,0,0,2,-2.0,-1.0,-2,-6
10,2021-10-27,Sampdoria,Atalanta,A,-1.3022706840679872,0,0,0,-1.0,0.5,-4,4
10,2021-10-28,Napoli,Bologna,H,1.26514533411578,0,0,2,1.5,-1.5,16,-4
10,2021-10-27,Lazio,Fiorentina,H,0.1404726079995029,0,0,2,0.0,1.0,2,1
10,2021-10-26,Venezia,Salernitana,A,0.4545257175887979,0,0,0,-2.0,-2.0,-8,-13
10,2021-10-26,Spezia,Genoa,D,-0.4354861243630222,0,0,1,-2.0,-2.0,-11,-7
10,2021-10-26,Milan,Torino,H,0.8191507966296955,0,0,2,2.0,-1.0,13,2
10,2021-10-27,Cagliari,Roma,A,-1.1041311373031608,0,0,0,-2.0,0.5,-9,7
10,2021-10-27,Empoli,Internazionale,A,-1.8502534889102813,0,0,0,-1.0,0.5,-4,12
10,2021-10-27,Udinese,Hellas Verona,D,-0.12099551874402978,0,0,1,-2.0,-1.0,-2,3
10,2021-10-27,Juventus,Sassuolo,A,1.0133680087985,0,0,0,1.5,-1.0,2,0
11,2021-10-31,Roma,Milan,A,-0.17766034114457632,0,0,0,1.5,2.0,8,14
11,2021-10-30,Atalanta,Lazio,D,0.3509754272163207,0,0,1,1.5,1.0,6,3
11,2021-10-30,Torino,Sampdoria,H,0.6886841868320412,0,0,2,-2.0,-2.0,1,-6
11,2021-10-31,Sassuolo,Empoli,A,0.8646327180126205,0,0,0,0.0,-2.0,1,-6
11,2021-10-31,Genoa,Venezia,D,0.20857823848335505,0,0,1,-2.0,-2.0,-7,-9
11,2021-10-31,Salernitana,Napoli,A,-2.205362772311671,0,0,0,-1.0,2.0,-12,19
11,2021-10-31,Internazionale,Udinese,H,1.6744000726375288,0,0,2,1.5,-2.0,14,-2
11,2021-10-31,Fiorentina,Spezia,H,1.199964782928397,0,0,2,0.0,-2.0,0,-11
11,2021-11-01,Bologna,Cagliari,H,0.09741396739652708,0,0,2,-2.0,-2.0,-7,-10
11,2021-10-30,Hellas Verona,Juventus,H,-1.581151791794338,0,0,2,-1.5,0.5,3,1
12,2021-11-07,Udinese,Sassuolo,H,-0.6887793017398679,0,0,2,-2.0,-1.0,-4,0
12,2021-11-07,Sampdoria,Bologna,A,-0.3234574724105268,0,0,0,-2.0,-1.0,-9,-5
12,2021-11-07,Venezia,Roma,H,-1.4924088905137274,0,1,2,-2.0,0.5,-9,7
12,2021-11-06,Juventus,Fiorentina,H,0.8908405174017537,1,0,2,-0.5,1.0,0,3
12,2021-11-07,Lazio,Salernitana,H,1.568055222637031,1,0,2,0.5,-2.0,3,-13
12,2021-11-06,Spezia,Torino,H,-1.077826320908275,0,0,2,-2.0,-1.0,-14,4
12,2021-11-07,Milan,Internazionale,D,-0.1660809448913413,1,1,1,2.0,2.0,15,16
12,2021-11-05,Empoli,Genoa,D,-0.22268155084399163,0,0,1,-1.0,-2.0,-5,-7
12,2021-11-06,Cagliari,Atalanta,A,-1.0762271790539875,0,1,0,-2.0,1.0,-12,6
12,2021-11-07,Napoli,Hellas Verona,D,1.4680914320667273,1,0,1,2.0,-0.5,20,4
13,2021-11-22,Hellas Verona,Empoli,H,0.29684893501678256,0,0,2,-1.0,-1.5,4,-5
13,2021-11-21,Salernitana,Sampdoria,A,-0.6167599657853646,0,0,0,-2.0,-2.0,-16,-10
13,2021-11-21,Internazionale,Napoli,H,0.08531312182677148,0,0,2,1.5,1.5,16,20
13,2021-11-21,Sassuolo,Cagliari,D,0.46225165244141764,0,0,1,-2.0,-2.0,-1,-13
13,2021-11-20,Atalanta,Spezia,H,1.691412818144221,0,0,2,2.0,-1.0,7,-13
13,2021-11-20,Lazio,Juventus,A,-0.7503679094022508,0,0,0,1.5,0.5,6,1
13,2021-11-21,Bologna,Venezia,A,0.48569172060709354,0,0,0,0.0,-1.0,-4,-8
13,2021-11-21,Genoa,Roma,A,-1.2838306520303722,0,0,0,-2.0,-0.5,-7,6
13,2021-11-20,Fiorentina,Milan,H,-0.6970123346095733,0,0,2,0.0,1.5,2,15
13,2021-11-22,Torino,Udinese,H,0.6891683311164919,0,0,2,-2.0,-1.0,3,-3
14,2021-11-28,Milan,Sassuolo,A,0.8195398260063195,1,0,0,0.5,-2.0,14,-1
14,2021-11-27,Venezia,Internazionale,A,-1.8361501765496449,0,1,0,0.0,2.0,-7,17
14,2021-11-27,Juventus,Atalanta,A,0.39939248218593015,1,1,0,1.5,2.0,3,10
14,2021-11-28,Udinese,Genoa,D,-0.04682813457123898,0,0,1,-2.0,-2.0,-4,-9
14,2021-11-27,Empoli,Fiorentina,H,-0.9871602094093667,0,0,2,-2.0,1.0,-6,3
14,2021-11-28,Spezia,Bologna,A,-0.7125996064867606,0,0,0,-2.0,-1.0,-16,-5
14,2021-11-28,Napoli,Lazio,H,0.6373075496746403,1,1,2,0.5,0.5,19,4
14,2021-11-27,Sampdoria,Hellas Verona,H,-0.12051137445957912,0,0,2,-1.0,0.0,-8,5
14,2021-11-28,Roma,Torino,H,0.6414904554851193,1,0,2,0.5,-1.0,8,4
14,2021-11-26,Cagliari,Salernitana,D,0.8428034707993644,0,0,1,-2.0,-2.0,-13,-18
15,2021-12-01,Internazionale,Spezia,H,2.063058062429312,0,0,2,2.0,-2.0,19,-17
15,2021-12-01,Genoa,Milan,A,-1.4614909931749485,0,0,0,-2.0,-0.5,-9,12
15,2021-12-01,Bologna,Roma,H,-1.0067171699066337,0,0,2,0.0,1.5,-4,9
15,2021-11-30,Atalanta,Venezia,H,1.4645049322645538,0,0,2,2.0,-1.0,11,-9
15,2021-12-02,Lazio,Udinese,D,0.9517794011361169,0,0,1,-0.5,-2.0,0,-4
15,2021-11-30,Salernitana,Juventus,A,-2.318423132039282,0,0,0,-2.0,0.5,-18,2
15,2021-11-30,Fiorentina,Sampdoria,H,0.8108226488521633,0,0,2,0.0,0.0,2,-6
15,2021-12-02,Torino,Empoli,D,0.8650217473892445,0,0,1,-2.0,-1.0,3,-5
15,2021-12-01,Sassuolo,Napoli,D,-0.9003076490708894,0,0,1,-1.0,1.5,1,23
15,2021-11-30,Hellas Verona,Cagliari,D,-0.10553213055442053,0,0,1,-1.0,-2.0,3,-13
16,2021-12-04,Napoli,Atalanta,A,0.2863321224583194,0,0,0,1.0,2.0,23,15
16,2021-12-06,Empoli,Udinese,H,-0.17585341627275267,0,0,2,-1.5,-2.0,-5,-4
16,2021-12-04,Roma,Internazionale,A,-0.3437412860359175,0,0,0,0.5,2.0,8,21
16,2021-12-05,Juventus,Genoa,H,1.6553191759671289,0,0,2,1.5,-2.0,4,-12
16,2021-12-04,Milan,Salernitana,H,2.1245949492471015,0,0,2,0.5,-2.0,15,-20
16,2021-12-05,Spezia,Sassuolo,D,-1.077437291531651,0,0,1,-2.0,-1.5,-19,1
16,2021-12-05,Bologna,Fiorentina,A,-0.4873651764416365,0,0,0,1.0,1.0,-3,4
16,2021-12-05,Venezia,Hellas Verona,A,-0.2827456226561459,0,0,0,-2.0,-1.5,-13,3
16,2021-12-05,Sampdoria,Lazio,A,-0.9512952568516663,0,0,0,-1.0,-1.0,-8,0
16,2021-12-06,Cagliari,Torino,D,-0.4626406818180416,0,0,1,-2.0,-2.0,-13,3
17,2021-12-12,Napoli,Empoli,A,1.7649403670835098,1,0,0,0.0,-0.5,22,-3
17,2021-12-13,Roma,Spezia,H,1.7193167763933943,1,0,2,-0.5,-2.0,5,-19
17,2021-12-10,Genoa,Sampdoria,A,0.04634399028678826,0,0,0,-2.0,-2.0,-14,-10
17,2021-12-12,Hellas Verona,Atalanta,A,-1.1817593096084078,0,1,0,-0.5,2.0,4,16
17,2021-12-12,Internazionale,Cagliari,H,1.4478724233390783,1,0,2,2.0,-2.0,24,-13
17,2021-12-12,Sassuolo,Lazio,H,-0.2630000993962491,0,1,2,-2.0,0.0,1,2
17,2021-12-11,Venezia,Juventus,D,-1.863897414450484,0,1,1,-2.0,2.0,-14,6
17,2021-12-11,Fiorentina,Salernitana,H,1.4275826146375281,0,0,2,2.0,-2.0,5,-22
17,2021-12-12,Torino,Bologna,H,0.3652267144215145,0,0,2,-2.0,0.0,3,-4
17,2021-12-11,Udinese,Milan,D,-1.5083191277461874,0,1,1,-2.0,1.5,-6,17
18,2021-12-19,Sampdoria,Venezia,D,0.16223424819656684,1,1,1,-1.0,-2.0,-8,-14
18,2021-12-17,Salernitana,Internazionale,A,-2.2906758941384426,0,1,0,-2.0,2.0,-26,28
18,2021-12-17,Lazio,Genoa,H,0.904951266564878,1,0,2,-1.0,-2.0,1,-16
18,2021-12-18,Cagliari,Udinese,A,0.2265276492984503,1,1,0,-2.0,-2.0,-17,-6
18,2021-12-19,Spezia,Empoli,D,-0.21280457351903043,1,1,1,-2.0,0.5,-21,-2
18,2021-12-19,Fiorentina,Sassuolo,D,0.12252749139674611,1,0,1,2.0,-1.0,9,2
18,2021-12-19,Milan,Napoli,A,-0.08076782306456984,0,0,0,1.0,-1.0,17,21
18,2021-12-19,Torino,Hellas Verona,H,0.5681728123724621,1,1,2,-1.0,-1.5,4,3
18,2021-12-18,Atalanta,Roma,A,-0.027903958249173487,0,0,0,2.0,0.5,17,7
18,2021-12-18,Bologna,Juventus,A,-1.3782056938433904,0,0,0,-1.0,1.5,-5,6
19,2021-12-22,Roma,Sampdoria,D,1.3301746423171603,0,0,1,1.5,-1.5,10,-8
19,2021-12-22,Sassuolo,Bologna,A,0.36483768504489045,0,0,0,-1.5,-2.0,2,-7
19,2021-12-21,Genoa,Atalanta,D,-1.2559266937811986,0,0,1,-2.0,1.0,-18,14
19,2021-12-22,Empoli,Milan,A,-1.6841725440189401,0,0,0,0.0,0.0,-2,16
19,2021-12-22,Venezia,Lazio,A,-1.113529505048233,0,0,0,-2.0,0.0,-14,3
19,2021-12-22,Hellas Verona,Fiorentina,D,-0.6903112743925842,0,0,1,-2.0,1.5,2,9
19,2021-12-22,Internazionale,Torino,H,0.9852317415210369,0,0,2,2.0,0.0,33,5
19,2021-12-21,Juventus,Cagliari,H,1.4756196612399175,0,0,2,2.0,-2.0,8,-21
19,2021-12-22,Napoli,Spezia,A,1.9777449406025405,0,0,0,0.0,-2.0,22,-21
20,2022-01-06,Spezia,Hellas Verona,A,-0.509653508535813,0,0,0,-1.0,-2.0,-20,2
20,2022-01-06,Milan,Roma,H,0.17766034114457624,0,0,2,1.0,1.0,18,10
20,2022-01-06,Lazio,Empoli,D,1.1276328174088697,0,0,1,1.0,-1.0,5,-4
20,2022-01-06,Sampdoria,Cagliari,A,-0.22604350501399958,0,0,0,-2.0,-2.0,-8,-23
20,2022-01-06,Sassuolo,Genoa,D,0.6419511671686289,0,0,1,-2.0,-2.0,-1,-18
20,2022-01-06,Juventus,Napoli,D,0.11306035972761057,0,0,1,2.0,-1.0,10,21
21,2022-01-09,Roma,Juventus,A,-0.3714885239367567,0,0,0,0.0,1.5,8,10
21,2022-01-09,Genoa,Spezia,A,0.4354861243630222,0,0,0,-2.0,-2.0,-18,-21
21,2022-01-09,Hellas Verona,Salernitana,A,0.7372713402449438,0,0,0,-1.0,-2.0,3,-31
21,2022-01-09,Internazionale,Lazio,H,0.7226206715014118,0,0,2,2.0,0.5,34,5
21,2022-01-10,Torino,Fiorentina,H,-0.12213846202012216,0,0,2,-1.0,1.0,4,9
21,2022-01-09,Napoli,Sampdoria,H,1.5886028065263065,0,0,2,-1.5,-2.0,21,-9
21,2022-01-11,Cagliari,Bologna,H,-0.09741396739652716,0,0,2,-1.0,-1.0,-22,-4
21,2022-01-09,Empoli,Sassuolo,A,-0.8646327180126205,0,0,0,-1.5,-2.0,-4,-1
21,2022-01-09,Venezia,Milan,A,-1.6700692316583035,0,0,0,-2.0,2.0,-16,20
21,2022-01-09,Udinese,Atalanta,A,-1.3027548283524377,0,0,0,-1.0,0.5,-2,14
22,2022-01-16,Sassuolo,Hellas Verona,A,0.5677837829958381,0,0,0,-1.0,-2.0,3,2
22,2022-01-17,Milan,Spezia,A,1.8969771175379706,1,0,0,2.0,-1.0,23,-20
22,2022-01-16,Roma,Cagliari,H,1.1041311373031608,0,0,2,-1.0,0.0,7,-21
22,2022-01-17,Bologna,Napoli,A,-1.26514533411578,0,1,0,-2.0,-0.5,-5,22
22,2022-01-15,Sampdoria,Torino,A,-0.688684186832041,0,0,0,-2.0,0.0,-10,8
22,2022-01-16,Venezia,Empoli,D,0.014103312360636605,1,0,1,-2.0,-2.0,-19,-8
22,2022-01-15,Juventus,Udinese,H,1.702147310538368,1,0,2,2.0,-2.0,11,-6
22,2022-01-16,Atalanta,Internazionale,D,-0.37164524428509094,1,1,1,1.5,2.0,18,35
22,2022-01-15,Salernitana,Lazio,A,-1.568055222637031,0,0,0,-1.0,-0.5,-30,4
22,2022-01-17,Fiorentina,Genoa,H,0.7644786585653751,1,1,2,0.0,-2.0,5,-19
23,2022-01-22,Genoa,Udinese,D,0.046828134571239105,0,1,1,-2.0,-2.0,-25,-8
23,2022-01-22,Internazionale,Venezia,H,1.8361501765496449,1,0,2,1.5,-2.0,35,-19
23,2022-01-23,Milan,Juventus,D,-0.1938281827921804,0,1,1,1.0,2.0,22,13
23,2022-01-21,Hellas Verona,Bologna,H,-0.2029460979509476,0,0,2,-1.0,-2.0,4,-7
23,2022-01-23,Torino,Sassuolo,D,0.00038902937662399706,0,1,1,1.0,-2.0,9,1
23,2022-01-23,Spezia,Sampdoria,H,-0.38914213407623394,0,1,2,0.0,-2.0,-19,-11
23,2022-01-22,Lazio,Atalanta,D,-0.3509754272163207,1,0,1,0.5,1.0,7,18
23,2022-01-23,Empoli,Roma,A,-1.5065122028743638,1,1,0,-2.0,0.0,-8,8
23,2022-01-23,Cagliari,Fiorentina,D,-0.5847791438381637,0,1,1,-1.0,1.0,-22,11
23,2022-01-23,Napoli,Salernitana,H,2.205362772311671,0,0,2,0.5,-2.0,24,-33
24,2022-02-06,Udinese,Torino,H,-0.689168331116492,0,0,2,-2.0,0.5,-8,9
24,2022-02-06,Venezia,Napoli,A,-1.7508370547228733,0,0,0,-2.0,1.5,-20,27
24,2022-02-06,Bologna,Empoli,D,0.4997950329677302,0,0,1,-2.0,-2.0,-8,-10
24,2022-02-06,Juventus,Hellas Verona,H,1.581151791794338,0,0,2,1.5,0.0,13,5
24,2022-02-07,Salernitana,Spezia,D,-0.2276178317091309,0,0,1,-2.0,1.0,-36,-18
24,2022-02-06,Sampdoria,Sassuolo,H,-0.6882951574554173,0,0,2,-2.0,-2.0,-12,1
24,2022-02-06,Atalanta,Cagliari,A,1.0762271790539875,0,0,0,0.5,-1.5,18,-22
24,2022-02-05,Fiorentina,Lazio,A,-0.1404726079995029,0,0,0,0.5,0.0,11,7
24,2022-02-05,Roma,Genoa,D,1.2838306520303722,0,0,1,1.0,-2.0,10,-25
24,2022-02-05,Internazionale,Milan,A,0.16608094489134126,0,0,0,2.0,0.5,36,22
25,2022-02-13,Milan,Sampdoria,H,1.5078349834617366,1,0,2,1.5,-1.0,23,-8
25,2022-02-12,Lazio,Bologna,H,0.6278377844411396,1,0,2,1.0,-2.0,10,-8
25,2022-02-13,Empoli,Cagliari,D,-0.402381065571203,0,0,1,-2.0,-0.5,-10,-21
25,2022-02-13,Hellas Verona,Udinese,H,0.12099551874402976,0,0,2,-1.0,-1.0,3,-6
25,2022-02-14,Spezia,Fiorentina,A,-1.199964782928397,0,1,0,0.5,-0.5,-18,8
25,2022-02-13,Genoa,Salernitana,D,0.663103956072153,0,0,1,-2.0,-2.0,-25,-36
25,2022-02-12,Torino,Venezia,A,0.850918435028608,0,0,0,-0.5,-2.0,7,-22
25,2022-02-13,Sassuolo,Roma,D,-0.6418794848617432,1,1,1,-2.0,0.5,-3,10
25,2022-02-13,Atalanta,Juventus,D,-0.39939248218593004,1,1,1,-0.5,2.0,17,15
25,2022-02-12,Napoli,Internazionale,D,-0.08531312182677145,0,1,1,2.0,1.0,29,35
26,2022-02-20,Internazionale,Sassuolo,A,0.9856207708976608,1,0,0,0.5,-2.0,35,-3
26,2022-02-19,Roma,Hellas Verona,D,1.2096632678575814,0,0,1,0.0,0.0,10,7
26,2022-02-21,Cagliari,Napoli,D,-1.3625593015123068,0,1,1,-1.0,1.5,-21,29
26,2022-02-20,Fiorentina,Atalanta,H,-0.4914480352158237,0,0,2,0.5,-1.0,9,17
26,2022-02-18,Juventus,Torino,D,1.012978979421876,0,0,1,1.5,-1.5,15,6
26,2022-02-20,Venezia,Genoa,D,-0.20857823848335516,0,0,1,-1.0,-2.0,-21,-25
26,2022-02-21,Bologna,Spezia,H,0.7125996064867606,0,0,2,-2.0,-0.5,-11,-19
26,2022-02-19,Sampdoria,Empoli,H,0.1763375605572034,0,0,2,-2.0,-2.0,-9,-10
26,2022-02-20,Udinese,Lazio,D,-0.9517794011361169,0,1,1,-2.0,2.0,-10,13
26,2022-02-19,Salernitana,Milan,D,-2.1245949492471015,0,0,1,-2.0,2.0,-36,24
27,2022-02-27,Hellas Verona,Venezia,H,0.2827456226561459,0,0,2,-0.5,-1.5,7,-21
27,2022-02-25,Genoa,Internazionale,D,-1.6275719380662896,0,0,1,-2.0,-0.5,-25,33
27,2022-02-27,Spezia,Roma,A,-1.7193167763933943,0,0,0,-1.5,-0.5,-20,10
27,2022-02-28,Atalanta,Sampdoria,H,1.302270684067987,1,0,2,-2.0,-1.0,16,-7
27,2022-02-25,Milan,Udinese,D,1.5083191277461876,0,0,1,1.5,-2.0,24,-10
27,2022-02-26,Empoli,Juventus,A,-1.8780007268111205,0,1,0,-2.0,1.0,-12,15
27,2022-02-26,Sassuolo,Fiorentina,H,-0.12252749139674615,0,0,2,-1.0,1.5,-1,10
27,2022-02-26,Salernitana,Bologna,D,-0.9402174381958914,0,0,1,-2.0,-1.0,-36,-10
27,2022-02-27,Lazio,Napoli,A,-0.6373075496746402,1,1,0,1.5,1.0,13,29
27,2022-02-27,Torino,Cagliari,A,0.46264068181804163,0,0,0,-2.0,-1.5,6,-21
