Matchweek,Match_Date,Home_Team,Away_Team,Win,log_ratio_Value,Cup_Home,Cup_Away,Winvalue,Home_Performance,Away_Performance,Home_Diff_Goals,Away_Diff_Goals,Aprob_TMValue_Costant,Dprob_TMValue_Costant,Hprob_TMValue_Costant,TMValue_Costant_pred,ln_TM_Home,ln_TM_Away,log_ratio_ln_TM
1,2021-08-21,Internazionale,Genoa,H,1.6275719380662899,0,0,2,0.0,0.0,0,0,0.05036633571519765,0.1224936018607903,0.8271400624240121,H,327644444.4444445,32761111.111111112,2.302686834469046
1,2021-08-23,Cagliari,Spezia,D,0.6151856390902335,0,0,1,0.0,0.0,0,0,0.16966957559536494,0.2763639743478965,0.5539664500567385,H,87061111.1111111,33775555.55555555,0.94687296620091
1,2021-08-21,Empoli,Lazio,A,-1.1276328174088697,0,0,0,0.0,0.0,0,0,0.6756719200670367,0.21573689694684373,0.10859118298611958,A,45400000.0,164918888.8888889,-1.2899416654954108
1,2021-08-22,Napoli,Venezia,H,1.7508370547228733,0,0,2,0.0,0.0,0,0,0.04306697328960603,0.1075569258111614,0.8493761008992325,H,258300000.0,14360000.0,2.8896751364817166
1,2021-08-22,Udinese,Juventus,D,-1.702147310538368,0,0,1,0.0,0.0,0,0,0.8174799641688135,0.12889522972659118,0.0536248061045953,A,55518888.88888889,220016666.66666666,-1.376979997868566
1,2021-08-21,Hellas Verona,Sassuolo,A,-0.5677837829958381,0,0,0,0.0,0.0,0,0,0.4970190693159611,0.29863285798907474,0.2043480726949642,A,56617777.777777776,100574444.44444445,-0.5745751631214875
1,2021-08-23,Sampdoria,Milan,A,-1.5078349834617366,0,0,0,0.0,0.0,0,0,0.7756489349409598,0.15596496265087212,0.06838610240816811,A,63677777.777777776,273655555.5555556,-1.458034574845388
1,2021-08-21,Torino,Atalanta,A,-0.6135864972359458,0,0,0,0.0,0.0,0,0,0.5122720835314141,0.2931226212028326,0.19460529526575332,A,73277777.77777778,219333333.33333334,-1.0963352478360575
1,2021-08-22,Roma,Fiorentina,H,0.5193519934649972,1,0,2,0.0,0.0,0,0,0.18842242979474058,0.28933409571668256,0.5222434744885769,H,239848888.8888889,150294444.44444445,0.4674127624474243
1,2021-08-22,Bologna,Salernitana,H,0.9402174381958914,0,0,2,0.0,0.0,0,0,0.11701517896536485,0.22603217348533355,0.6569526475493016,H,75977777.77777778,14674444.444444444,1.6443333921494878
2,2021-08-29,Genoa,Napoli,A,-1.5422588162395183,0,0,0,-1.0,1.0,-4,2,0.6891089814307853,0.2081578171593932,0.10273320140982156,A,36246666.666666664,274805555.5555556,-2.025716353817448
2,2021-08-28,Atalanta,Bologna,D,0.9788132116574604,0,0,1,1.0,1.0,1,1,0.11170942367114486,0.21962918562678,0.6686613907020751,H,214388888.8888889,70950000.0,1.1058162000354024
2,2021-08-28,Lazio,Spezia,H,1.3404373909279002,0,0,2,1.0,-0.5,2,0,0.10095502129871538,0.20578658276978917,0.6932583959314955,H,162400000.0,29245555.555555556,1.714334812413413
2,2021-08-29,Milan,Cagliari,H,1.281791478447737,0,0,2,1.0,-0.5,1,0,0.10827097590716306,0.2153316833917195,0.6763973407011175,H,267855555.55555555,67636666.66666666,1.3762976210942905
2,2021-08-28,Fiorentina,Torino,H,0.12213846202012206,0,0,2,-1.0,-1.0,-2,-1,0.2829002377271835,0.3256304576438887,0.39146930462892787,H,164977777.7777778,81577777.77777778,0.7042538909692023
2,2021-08-28,Juventus,Empoli,A,1.8780007268111205,0,0,0,-0.5,-1.0,0,-2,0.04120702032316816,0.10361480482409166,0.8551781748527402,H,284077777.7777778,49061111.11111111,1.7561813795030374
2,2021-08-27,Hellas Verona,Internazionale,A,-1.5534045538934989,0,0,0,-1.0,1.0,-1,4,0.6922812850176148,0.20634625159382325,0.10137246338856198,A,74772222.22222222,399150000.0,-1.6748908307483026
2,2021-08-29,Salernitana,Roma,A,-1.9469346081025252,0,1,0,-1.0,1.0,-1,2,0.7916827579571498,0.14571810609238323,0.06259913595046696,A,13810000.0,232800000.0,-2.824786748436082
2,2021-08-27,Udinese,Venezia,H,0.16175010391211608,0,0,2,-0.5,-1.0,0,-2,0.29722664950204813,0.3277489319326099,0.37502441856534197,H,52782222.222222224,33058888.888888888,0.4678839507776757
2,2021-08-29,Sassuolo,Sampdoria,D,0.6882951574554173,0,0,1,1.0,-1.0,1,-1,0.23236943218740155,0.3115869976197354,0.456043570192863,H,101705555.55555555,60911111.11111111,0.5126663219283382
3,2021-09-11,Empoli,Venezia,A,-0.014103312360636605,0,0,0,0.0,-2.0,-1,-5,0.4358024837065045,0.31689399002238244,0.24730352627111313,A,50050000.0,30588888.888888888,0.4923856709488874
3,2021-09-12,Torino,Salernitana,H,1.3054441526174059,0,0,2,-2.0,-2.0,-2,-5,0.07546356269418705,0.16788982912998718,0.7566466081758257,H,78744444.44444445,15530000.0,1.6234340913193952
3,2021-09-11,Atalanta,Fiorentina,A,0.49144803521582375,0,0,0,0.5,0.0,1,-1,0.2140366907009692,0.30358057330069566,0.48238273599833514,H,198155555.55555555,162327777.7777778,0.19943474567054348
3,2021-09-12,Roma,Sassuolo,H,0.6418794848617433,0,0,2,2.0,0.5,6,1,0.22149833242761777,0.30704680091362313,0.47145486665875913,H,255655555.55555555,129333333.33333333,0.6814380014341039
3,2021-09-13,Bologna,Hellas Verona,H,0.20294609795094767,0,0,2,0.5,-2.0,1,-3,0.39531351792054514,0.32504284142143425,0.2796436406580206,A,90044444.44444445,83677777.77777778,0.07332993182716757
3,2021-09-12,Sampdoria,Internazionale,D,-1.673915928353078,0,0,1,-1.5,2.0,-1,6,0.6464162042292326,0.2316864208646371,0.12189737490613028,A,58426666.666666664,332911111.1111111,-1.7401031141279608
3,2021-09-12,Spezia,Udinese,A,-0.3886579897917832,0,0,0,-1.5,0.5,-5,3,0.3229000150465437,0.3297673479543138,0.34733263699914246,H,33245555.555555556,58162222.222222224,-0.5593149506025837
3,2021-09-11,Napoli,Juventus,H,-0.1130603597276106,0,0,2,2.0,-1.5,3,-1,0.5597633610880115,0.27385099260475776,0.16638564630723074,A,311172222.2222222,185822222.2222222,0.515556105962748
3,2021-09-12,Milan,Lazio,H,0.5565397266100705,0,0,2,2.0,2.0,4,7,0.18067451650284103,0.28425233946350636,0.5350731440336526,H,323188888.8888889,181866666.66666666,0.5749631297570018
3,2021-09-12,Cagliari,Genoa,A,0.17969951472721124,0,0,0,-1.5,-2.0,-3,-5,0.29245715619615814,0.3271263726810682,0.3804164711227736,H,78822222.22222222,36522222.222222224,0.7692740616693476
4,2021-09-19,Lazio,Cagliari,D,0.7252517518376667,1,0,1,1.0,-2.0,5,-4,0.26922984445078624,0.3228879974617852,0.40788215808742856,H,200228888.8888889,87055555.55555555,0.8329146721552999
4,2021-09-19,Empoli,Sampdoria,A,-0.17633756055720343,0,0,0,-1.0,-2.0,-2,-1,0.42879143359095334,0.3185488681593767,0.25265969824967,A,50205555.55555556,54844444.44444444,-0.08837520624321306
4,2021-09-19,Hellas Verona,Roma,H,-1.2096632678575814,0,1,2,-2.0,2.0,-4,7,0.4656674465920382,0.3088005452413666,0.22553200816659524,A,77888888.8888889,244100000.0,-1.1422946677005437
4,2021-09-18,Salernitana,Atalanta,A,-1.9190306498533518,0,1,0,-2.0,-0.5,-9,0,0.8056106413834234,0.13668564913768555,0.05770370947889103,A,13762222.222222222,229344444.44444445,-2.8132976795302973
4,2021-09-20,Udinese,Napoli,A,-1.5890869508107572,0,1,0,1.5,2.0,4,4,0.7728434579987872,0.15774073995777893,0.0694158020434339,A,55868888.88888889,331388888.8888889,-1.7802849007996582
4,2021-09-18,Genoa,Fiorentina,A,-0.764478658565375,0,0,0,-1.0,1.0,-4,0,0.4402212281530407,0.3158015494639193,0.24397722238304004,A,40186666.666666664,145061111.1111111,-1.2836198439215332
4,2021-09-18,Internazionale,Bologna,H,1.3504584559425512,1,0,2,1.5,1.5,6,2,0.07115904528647189,0.16071504065775954,0.7681259140557686,H,363022222.2222222,67455555.55555555,1.682995105833958
4,2021-09-19,Venezia,Spezia,A,0.226907885879667,0,0,0,-1.0,-2.0,-4,-6,0.3049110380014261,0.3285842337059978,0.366504728292576,H,29752222.22222222,31118888.888888888,-0.044911168840962044
4,2021-09-17,Sassuolo,Torino,A,-0.00038902937662400286,0,0,0,-0.5,-1.0,0,2,0.34422444938590663,0.32986420316694726,0.32591134744714617,A,131055555.55555557,86966666.66666667,0.4100964180369373
4,2021-09-19,Juventus,Milan,D,0.19382818279218045,1,1,1,-2.0,2.0,-2,6,0.11842911423829618,0.22769278391943248,0.6538781018422714,H,208666666.66666666,327344444.4444444,-0.45027488100956825
5,2021-09-21,Atalanta,Sassuolo,H,0.6139755266125699,0,0,2,0.5,-1.5,1,-1,0.25058795920006716,0.31792384881255054,0.4314881919873823,H,232366666.66666666,119212222.22222222,0.6674112990280635
5,2021-09-22,Milan,Venezia,H,1.6700692316583037,0,0,2,1.5,-2.0,6,-5,0.10574689980602585,0.21210105260555467,0.6821520475884195,H,258077777.7777778,30676666.666666668,2.129758681562696
5,2021-09-23,Torino,Lazio,D,-0.26261107001962514,0,0,1,0.0,0.5,3,5,0.36787567513828284,0.32846230687524186,0.30366201798647535,A,82677777.77777778,148306666.6666667,-0.584331344988723
5,2021-09-23,Roma,Udinese,H,1.330658786601611,0,0,2,1.0,0.5,6,0,0.08171177054078639,0.17788750661070296,0.7404007228485107,H,251833333.3333333,62744444.44444445,1.3896974537021127
5,2021-09-22,Cagliari,Empoli,A,0.402381065571203,0,0,0,-2.0,-2.0,-4,-5,0.21374301267600418,0.3034381256192158,0.48281886170478006,H,87944444.44444445,52650000.0,0.5130390634048629
5,2021-09-22,Spezia,Juventus,A,-2.090805300330151,0,0,0,-1.0,-2.0,-5,-2,0.9058363205123979,0.06846009145103416,0.025703588036567915,A,31937777.777777776,322255555.5555556,-2.3115553160947604
5,2021-09-23,Sampdoria,Napoli,A,-1.5886028065263065,0,0,0,-1.0,2.0,2,8,0.6484007872445477,0.23062937542751216,0.12096983732794009,A,59062222.222222224,347022222.2222222,-1.7707973167554663
5,2021-09-21,Fiorentina,Internazionale,A,-0.8630932795009146,0,0,0,2.0,2.0,1,11,0.593768178018366,0.25828876154754943,0.14794306043408456,A,181505555.55555555,397983333.3333334,-0.7851238660027365
5,2021-09-21,Bologna,Genoa,D,0.27711348212373854,0,0,1,0.5,-2.0,-3,-5,0.3719541220696526,0.3280711485277772,0.2999747294025702,A,87050000.0,33911111.11111111,0.9427399441401154
5,2021-09-22,Salernitana,Hellas Verona,D,-0.7372713402449438,0,0,1,-2.0,-1.0,-10,-3,0.4925365995531127,0.30018431166925685,0.20727908877763046,A,14116666.666666666,70566666.66666667,-1.6092017570427561
6,2021-09-25,Spezia,Milan,A,-1.8969771175379706,0,0,0,-2.0,2.0,-6,8,0.6852808539029215,0.21033268492709523,0.10438646116998329,A,30211111.111111112,298572222.2222222,-2.2908020797583575
6,2021-09-26,Lazio,Roma,H,-0.37887938546549427,0,0,2,0.0,2.0,5,7,0.31974069311331826,0.3296352374327309,0.3506240694539509,H,185166666.66666666,222755555.55555555,-0.18481868639400956
6,2021-09-26,Juventus,Sampdoria,H,1.7016631662539172,0,0,2,-1.0,-2.0,-1,-2,0.05793201067298276,0.13711449940452217,0.804953489922495,H,247827777.7777778,50233333.333333336,1.5960552435179636
6,2021-09-26,Empoli,Bologna,H,-0.4997950329677301,0,0,2,-1.0,0.0,-3,-3,0.4140581921460842,0.32170195268024304,0.26423985517367277,A,59583333.333333336,81866666.66666667,-0.3177160146988704
6,2021-09-27,Venezia,Torino,D,-0.850918435028608,0,0,1,-2.0,-0.5,-7,3,0.4996781051187905,0.29769773764889096,0.20262415723231852,A,35541111.11111111,77140000.0,-0.774931866864416
6,2021-09-25,Genoa,Hellas Verona,D,-0.07416738417279078,0,0,1,-2.0,-1.5,-5,-3,0.31207105101400473,0.3291818470612526,0.35874710192474263,H,33327777.77777778,76166666.66666667,-0.826532704903267
6,2021-09-26,Udinese,Fiorentina,A,-0.8113067931366141,0,0,0,-0.5,1.0,-1,-1,0.4861233017007243,0.3023487532277071,0.21152794507156863,A,61083333.333333336,170522222.22222224,-1.0266265717461787
6,2021-09-26,Napoli,Cagliari,H,1.362559301512307,0,0,2,2.0,-2.0,12,-6,0.1675772645012077,0.2747715312444291,0.5576512042543632,H,345877777.7777778,84338888.8888889,1.4112423951932398
6,2021-09-26,Sassuolo,Salernitana,H,1.3050551232407819,0,0,2,-2.0,-2.0,-2,-10,0.07549973156389149,0.16794910814236058,0.756551160293748,H,131166666.66666667,13711111.111111112,2.25826224505428
6,2021-09-25,Internazionale,Atalanta,D,0.371645244285091,0,0,1,2.0,1.5,13,2,0.241841226684826,0.31507340172917264,0.44308537158600136,H,383888888.8888889,228511111.1111111,0.5187683234066801
7,2021-10-03,Atalanta,Milan,A,-0.20556429939374976,1,1,0,1.0,2.0,2,9,0.3227509713049469,0.329761820699633,0.3474872079954201,H,209466666.66666666,331305555.5555556,-0.45847646040920276
7,2021-10-02,Salernitana,Genoa,H,-0.663103956072153,0,0,2,-2.0,-2.0,-11,-5,0.5292205515415225,0.28659888361476216,0.18418056484371537,A,12235555.555555556,30983333.333333332,-0.929103322561156
7,2021-10-03,Hellas Verona,Spezia,H,0.509653508535813,0,0,2,-2.0,-2.0,-3,-7,0.19070646863115526,0.29076068740262284,0.5185328439662219,H,77372222.22222222,22957777.777777776,1.2149710500778017
7,2021-10-01,Cagliari,Venezia,D,0.3882777532105664,0,0,1,-2.0,-2.0,-8,-7,0.21691771189751663,0.3049536194655681,0.4781286686369153,H,82858888.8888889,38001111.11111111,0.7795236279950644
7,2021-10-03,Sampdoria,Udinese,D,0.00048414428445068636,0,0,1,-2.0,-1.5,-3,-2,0.2911281034021974,0.3269383755910811,0.3819335210067215,H,57500000.0,59916666.666666664,-0.041169760129741585
7,2021-10-03,Fiorentina,Napoli,A,-0.7777801576741433,0,1,0,2.0,2.0,0,14,0.5660870637070695,0.2710617293656058,0.1628512069273247,A,185722222.22222224,347355555.5555556,-0.6260967826012175
7,2021-10-03,Bologna,Lazio,H,-0.6278377844411395,0,1,2,-1.0,1.0,-5,6,0.39596454470039844,0.3249399590390877,0.2790954962605139,A,94522222.22222222,135977777.7777778,-0.3636565110466015
7,2021-10-03,Roma,Empoli,H,1.5065122028743638,1,0,2,1.0,0.0,6,-1,0.0737298797136326,0.16502884067328252,0.761241279613085,H,232922222.2222222,47877777.777777776,1.5820531203480446
7,2021-10-02,Torino,Juventus,A,-1.012978979421876,0,1,0,-1.0,0.0,3,0,0.5833378847743014,0.26320657808458736,0.15345553714111126,A,92111111.1111111,293377777.7777778,-1.1584655446793208
7,2021-10-02,Sassuolo,Internazionale,A,-0.9856207708976609,0,1,0,-1.0,1.5,-1,13,0.4828860584828506,0.3034161500874525,0.21369779142969691,A,127183333.33333333,408827777.7777778,-1.1676643710677468
8,2021-10-16,Milan,Hellas Verona,H,1.3873236090021577,0,0,2,2.0,-1.0,10,1,0.13220841466025687,0.24291218413145785,0.6248794012082852,H,224694444.44444445,67884444.44444445,1.1969345413179333
8,2021-10-17,Udinese,Bologna,D,-0.3239416166949775,0,0,1,-2.0,0.0,-2,-2,0.3044470353214365,0.3285395589869626,0.36701340569160085,H,58383333.333333336,88405555.55555555,-0.4149043523445872
8,2021-10-17,Napoli,Torino,H,0.8999186196942653,0,0,2,2.0,-2.0,15,2,0.27159825660678377,0.32341567054829673,0.40498607284491944,H,353344444.4444444,78011111.11111112,1.5105920777974675
8,2021-10-18,Venezia,Fiorentina,H,-0.9730568970487301,0,0,2,-2.0,1.0,-7,-1,0.4484118425466988,0.3136779971074534,0.23791016034584783,A,47594444.44444445,160777777.7777778,-1.2173071082214308
8,2021-10-17,Empoli,Atalanta,A,-1.4786082446251905,0,0,0,-1.0,0.0,-3,1,0.7224886166399065,0.18868911696853985,0.08882226639155366,A,49430000.0,205388888.8888889,-1.4243476737215992
8,2021-10-17,Genoa,Sassuolo,D,-0.6419511671686289,0,0,1,-2.0,-2.0,-6,-2,0.5221939312100865,0.2893532726391099,0.18845279615080357,A,32555555.555555556,124432222.22222222,-1.3408131361630198
8,2021-10-16,Spezia,Salernitana,H,0.2276178317091309,0,0,2,-2.0,-1.0,-11,-10,0.2115915111241879,0.30238038488664704,0.486028103989165,H,34047777.777777776,11788888.888888888,1.0606072986806616
8,2021-10-17,Juventus,Roma,H,0.37148852393675663,0,0,2,1.0,2.0,1,8,0.18094558383431114,0.2844365699912168,0.5346178461744721,H,194588888.8888889,244222222.2222222,-0.22718948668494787
8,2021-10-17,Cagliari,Sampdoria,H,0.22604350501399967,0,0,2,-2.0,-2.0,-8,-3,0.2558639164428394,0.31947861899848456,0.4246574645586761,H,83855555.55555555,45484444.44444445,0.6117253547939863
8,2021-10-16,Lazio,Internazionale,H,-0.7226206715014117,0,0,2,0.0,2.0,3,14,0.42629005672170145,0.3191155707619357,0.2545943725163629,A,176902222.2222222,335022222.2222222,-0.6385997015048699
9,2021-10-23,Salernitana,Empoli,A,-0.44042240522816123,0,0,0,-2.0,-2.0,-11,-6,0.4552057407295798,0.3118217487727419,0.23297251049767836,A,10460000.0,56866666.666666664,-1.6931508877526922
9,2021-10-24,Hellas Verona,Lazio,H,-0.8307838823920871,0,1,2,-2.0,1.0,0,5,0.40212057421291114,0.32391957973925645,0.2739598460478324,A,80458888.8888889,158766666.6666667,-0.6796892621967685
9,2021-10-24,Atalanta,Udinese,D,1.3027548283524377,1,0,1,1.0,-2.0,4,-2,0.1457999966168248,0.2563129941589955,0.5978870092241797,H,187055555.55555555,55483333.333333336,1.2153229859119854
9,2021-10-24,Internazionale,Juventus,D,-0.027747237900839185,1,1,1,1.0,2.0,12,2,0.27327685285943715,0.3237761125480386,0.40294703459252423,H,395227777.7777778,189066666.66666666,0.7373625647530614
9,2021-10-22,Sampdoria,Spezia,H,0.3891421340762339,0,0,2,-2.0,-1.0,-5,-10,0.17791258133436866,0.2823480319503968,0.5397393867152345,H,43530000.0,35991111.11111111,0.19017836117651976
9,2021-10-24,Fiorentina,Cagliari,H,0.5847791438381638,0,0,2,0.0,-1.0,-2,-6,0.21386597560828285,0.3034978247093782,0.482636199682339,H,177116666.6666667,82816666.66666667,0.7601793197703747
9,2021-10-22,Torino,Genoa,H,0.6423401965452529,0,0,2,-2.0,-2.0,1,-6,0.16490139393936076,0.2726904505062472,0.562408155554392,H,93788888.8888889,39555555.55555555,0.8633402401376439
