League,Gender,Country,Season,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Game_URL,Team,Home_Away,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast_1,xA,KP,Final_Third,PPA,CrsPA,Prog,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Press_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Ground_Height,Low_Height,High_Height,Left_Body_Parts,Right_Body_Parts,Head_Body_Parts,TI_Body_Parts,Other_Body_Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs_Dribbles,Att_Vs_Dribbles,Tkl_percent_Vs_Dribbles,Past_Vs_Dribbles,Press_Pressures,Succ_Pressures,percent_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int_2,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles_3,Att_Dribbles_4,Succ_percent_Dribbles,Player_NumPl_Dribbles,Megs_Dribbles,Carries_Carries_5,TotDist_Carries,PrgDist_Carries,Prog_Carries_6,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,CrdY_7,CrdR_8,2CrdY,Fls_9,Fld_10,Off_11,Crs_12,Int_13,TklW_14,PKwon_15,PKcon_16,OG_17,Recov,Won_Aerial_Duels,Lost_Aerial_Duels,Won_percent_Aerial_Duels,Cup,Cup_Home,Cup_Away,Win,TM_Value_Home_Team,TM_Value_Away_Team,log_ratio_Value
Serie A,M,ITA,2021-2022,2021-08-23,1,Sampdoria,04/04/02,0,1.0,"
		
	",3,0,Milan,4-2-3-1,1,1.1,"
		
			 Brahim Daz á 9&rsquor;
		
	",1,0,https://fbref.com/en/matches/2e04a6c0/Sampdoria-Milan-August-23-2021-Serie-A,Sampdoria,Home,990,0,0,0,0,16,3,3,0,560,153,20,16,12,1.0,1.0,0.4,22,0,334,432,77.3,38,332,30,6,9,334,432,77.3,6707,2770,132,157,84.1,137,166,82.5,57,92,62.0,0,0.4,10,31,8,3,38,432,379,53,15,1,93,17,18,8,1,2,0,266,47,119,117,261,17,18,11,334,2,9,19,12,20,12,10,5,5,9,17,52.9,8,153,46,30.1,39,74,40,12,2,0,10,16,36,32,0,560,70,200,241,151,27,507,6,9,66.7,6,0,332,1522,783,30,14,1,10,15,419,334,79.7,38,3,0,0,20,14,3,18,16,12,0,0,0,77,22,14,61.1,0,0,0,A,103300000,466600000,-1.5078349834617366
Serie A,M,ITA,2021-2022,2021-08-23,1,Sampdoria,04/04/02,0,1.0,"
		
	",3,0,Milan,4-2-3-1,1,1.1,"
		
			 Brahim Daz á 9&rsquor;
		
	",1,0,https://fbref.com/en/matches/2e04a6c0/Sampdoria-Milan-August-23-2021-Serie-A,Milan,Away,990,1,1,0,0,11,4,1,0,569,164,18,20,19,1.1,1.1,0.7,12,1,349,442,79.0,25,344,33,6,17,349,442,79.0,6135,2357,166,183,90.7,123,149,82.6,43,83,51.8,1,0.7,7,20,7,1,25,442,397,45,20,1,61,6,11,3,0,2,0,317,33,92,127,273,10,13,7,349,3,7,16,10,18,13,4,9,5,3,9,33.3,6,164,56,34.1,37,80,47,19,7,0,12,20,38,18,1,569,86,200,264,132,21,525,6,17,35.3,8,1,344,1849,1031,33,10,5,10,11,412,349,84.7,25,1,0,0,15,19,3,11,20,13,0,0,0,68,14,22,38.9,0,0,0,A,103300000,466600000,-1.5078349834617366
Serie A,M,ITA,2021-2022,2021-08-29,2,Milan,4-2-3-1,4,2.7,"
		
			Sandro Tonali á 12&rsquor; 
		
			Rafael Leo á 17&rsquor; 
		
			Olivier Giroud á 24&rsquor; 
		
			Olivier Giroud (P) á 43&rsquor; 
		
	",1,0,Cagliari,03/05/02,1,0.4,"
		
			 Alessandro Deiola á 15&rsquor;
		
	",5,0,https://fbref.com/en/matches/0f78d641/Milan-Cagliari-August-29-2021-Serie-A,Milan,Home,990,4,1,1,1,17,4,1,0,652,130,7,7,11,2.8,2.0,1.7,29,7,495,562,88.1,37,465,46,13,20,495,562,88.1,9570,2747,182,198,91.9,229,240,95.4,73,100,73.0,1,1.7,12,25,12,4,37,562,522,40,9,0,59,21,16,8,3,1,0,438,61,63,171,362,4,15,3,495,1,11,8,14,7,4,5,2,0,3,9,33.3,6,130,30,23.1,34,62,34,11,3,0,8,7,14,13,0,652,63,197,323,175,37,610,13,20,65.0,15,0,465,2447,1325,46,13,7,16,3,543,495,91.2,37,1,0,0,15,11,1,16,7,4,0,0,0,67,15,20,42.9,0,0,0,H,466600000,129500000,1.281791478447737
Serie A,M,ITA,2021-2022,2021-08-29,2,Milan,4-2-3-1,4,2.7,"
		
			Sandro Tonali á 12&rsquor; 
		
			Rafael Leo á 17&rsquor; 
		
			Olivier Giroud á 24&rsquor; 
		
			Olivier Giroud (P) á 43&rsquor; 
		
	",1,0,Cagliari,03/05/02,1,0.4,"
		
			 Alessandro Deiola á 15&rsquor;
		
	",5,0,https://fbref.com/en/matches/0f78d641/Milan-Cagliari-August-29-2021-Serie-A,Cagliari,Away,990,1,1,0,0,7,2,5,0,517,126,8,8,22,0.4,0.4,0.3,11,2,359,423,84.9,23,299,22,6,9,359,423,84.9,7002,2670,145,157,92.4,161,186,86.6,46,64,71.9,1,0.3,5,22,4,1,23,423,378,45,13,0,59,5,10,3,0,3,0,302,45,76,123,261,15,13,6,359,0,4,7,8,8,3,4,2,2,5,20,25.0,15,126,27,21.4,52,47,27,22,8,0,14,8,16,17,0,517,71,219,226,96,18,473,6,9,66.7,6,0,299,1667,833,22,6,2,19,4,416,359,86.3,23,5,0,0,12,14,0,10,8,3,0,1,0,49,20,15,57.1,0,0,0,H,466600000,129500000,1.281791478447737
Serie A,M,ITA,2021-2022,2021-09-12,3,Milan,4-2-3-1,2,3.0,"
		
			Rafael Leo á 45&rsquor; 
		
			Zlatan Ibrahimovi_ á 67&rsquor; 
		
	",1,0,Lazio,04/03/03,0,0.3,"
		
	",4,0,https://fbref.com/en/matches/fe2d72aa/Milan-Lazio-September-12-2021-Serie-A,Milan,Home,990,2,2,0,1,20,3,1,0,614,156,19,19,12,3.0,2.3,2.0,30,4,416,503,82.7,42,449,33,17,26,416,503,82.7,8041,2463,164,186,88.2,182,206,88.3,59,95,62.1,2,2.0,13,26,17,4,42,503,462,41,19,0,32,15,15,5,1,0,0,354,61,88,163,299,11,13,11,416,3,4,17,5,19,12,8,5,6,8,13,61.5,5,156,45,28.8,38,77,41,12,2,0,10,19,38,12,0,614,45,197,289,160,33,579,17,26,65.4,18,1,449,2003,979,33,11,2,11,10,491,416,84.7,42,1,0,0,12,19,4,15,19,12,1,0,0,84,6,17,26.1,0,0,0,H,466600000,267450000,0.5565397266100705
Serie A,M,ITA,2021-2022,2021-09-12,3,Milan,4-2-3-1,2,3.0,"
		
			Rafael Leo á 45&rsquor; 
		
			Zlatan Ibrahimovi_ á 67&rsquor; 
		
	",1,0,Lazio,04/03/03,0,0.3,"
		
	",4,0,https://fbref.com/en/matches/fe2d72aa/Milan-Lazio-September-12-2021-Serie-A,Lazio,Away,990,0,0,0,0,8,5,4,0,678,173,18,18,14,0.3,0.3,0.1,12,0,488,570,85.6,24,439,48,5,13,488,570,85.6,8008,2586,241,258,93.4,187,219,85.4,39,60,65.0,0,0.1,5,31,4,1,24,570,532,38,13,0,91,6,9,1,1,0,0,461,53,56,135,399,6,13,6,488,2,5,17,10,18,10,9,7,2,8,26,30.8,18,173,40,23.1,60,86,27,14,9,0,5,18,36,21,0,678,80,237,360,133,9,642,5,13,38.5,5,1,439,2307,1317,48,13,2,13,11,541,488,90.2,24,4,0,0,19,11,2,9,18,10,0,1,0,70,17,6,73.9,0,0,0,H,466600000,267450000,0.5565397266100705
Serie A,M,ITA,2021-2022,2021-09-19,4,Juventus,04/04/02,1,1.0,"
		
			çlvaro Morata á 4&rsquor; 
		
	",1,0,Milan,4-2-3-1,1,0.7,"
		
			 Ante Rebi_ á 76&rsquor;
		
	",1,0,https://fbref.com/en/matches/e1ba445c/Juventus-Milan-September-19-2021-Serie-A,Milan,Away,990,1,1,0,0,13,3,1,0,623,148,12,17,10,0.7,0.7,0.6,19,2,459,528,86.9,32,397,58,9,17,459,528,86.9,8628,2462,195,218,89.4,199,214,93.0,62,85,72.9,1,0.6,8,33,9,3,32,528,485,43,14,2,50,21,15,4,1,3,0,416,54,58,170,317,13,15,7,459,0,7,11,10,12,10,6,5,1,4,10,40.0,6,148,40,27.0,40,76,32,10,0,0,10,17,29,9,0,623,40,160,334,188,15,582,9,17,52.9,9,0,397,2333,1334,58,24,1,16,8,511,459,89.8,32,1,0,0,16,13,0,15,17,10,0,0,0,62,11,3,78.6,1,1,1,D,566400000,466600000,0.19382818279218045
Serie A,M,ITA,2021-2022,2021-09-19,4,Juventus,04/04/02,1,1.0,"
		
			çlvaro Morata á 4&rsquor; 
		
	",1,0,Milan,4-2-3-1,1,0.7,"
		
			 Ante Rebi_ á 76&rsquor;
		
	",1,0,https://fbref.com/en/matches/e1ba445c/Juventus-Milan-September-19-2021-Serie-A,Juventus,Home,990,1,1,0,0,9,4,1,0,524,112,16,12,15,1.0,1.0,1.0,18,2,343,413,83.1,22,335,32,6,10,343,413,83.1,7561,2779,123,140,87.9,143,161,88.8,74,101,73.3,1,1.0,9,23,4,2,22,413,370,43,16,1,75,19,5,4,4,0,0,281,65,67,146,233,7,12,12,343,2,6,17,11,16,5,7,8,1,8,17,47.1,9,112,36,32.1,38,58,16,15,4,0,11,12,28,18,0,524,63,175,283,105,11,484,6,10,60.0,6,1,335,1897,941,32,13,3,18,8,395,343,86.8,22,1,0,0,15,16,3,5,12,5,0,0,0,72,3,11,21.4,1,1,1,D,566400000,466600000,0.19382818279218045
Serie A,M,ITA,2021-2022,2021-09-22,5,Milan,4-2-3-1,2,1.7,"
		
			Brahim Daz á 68&rsquor; 
		
			Theo Hernndez á 82&rsquor; 
		
	",0,0,Venezia,04/03/03,0,0.7,"
		
	",2,0,https://fbref.com/en/matches/c2431356/Milan-Venezia-September-22-2021-Serie-A,Venezia,Away,990,0,0,0,0,8,2,2,0,471,238,17,19,15,0.7,0.7,0.3,11,0,257,340,75.6,17,236,18,6,14,257,340,75.6,4997,1823,105,117,89.7,110,132,83.3,40,77,51.9,0,0.3,5,11,3,1,17,340,290,50,12,0,46,11,3,4,1,3,0,214,55,71,111,187,12,19,6,257,1,3,11,11,17,11,10,6,1,11,31,35.5,20,238,65,27.3,99,109,30,15,3,0,12,19,36,25,0,471,79,212,226,71,5,424,6,14,42.9,6,0,236,1149,641,18,7,0,16,17,330,257,77.9,17,2,0,0,14,15,1,3,19,11,0,0,0,76,18,11,62.1,0,0,0,H,466600000,87830000,1.6700692316583037
Serie A,M,ITA,2021-2022,2021-09-22,5,Milan,4-2-3-1,2,1.7,"
		
			Brahim Daz á 68&rsquor; 
		
			Theo Hernndez á 82&rsquor; 
		
	",0,0,Venezia,04/03/03,0,0.7,"
		
	",2,0,https://fbref.com/en/matches/c2431356/Milan-Venezia-September-22-2021-Serie-A,Milan,Home,990,2,2,0,0,14,4,0,0,793,178,25,13,11,1.7,1.7,1.6,25,4,587,677,86.7,46,602,73,18,31,587,677,86.7,11406,3026,224,254,88.2,277,299,92.6,79,109,72.5,2,1.6,12,41,15,5,46,677,638,39,13,0,101,14,14,4,3,1,0,507,83,87,285,347,13,14,12,587,1,5,18,12,25,15,11,12,2,8,14,57.1,6,178,70,39.3,32,96,50,11,0,0,11,13,38,11,0,793,51,197,440,213,39,757,18,31,58.1,20,4,602,3284,1686,73,23,8,17,6,669,587,87.7,46,0,0,0,15,14,0,14,13,15,0,0,0,85,11,18,37.9,0,0,0,H,466600000,87830000,1.6700692316583037
Serie A,M,ITA,2021-2022,2021-09-25,6,Spezia,4-1-4-1,1,0.9,"
		
			Daniele Verde á 80&rsquor; 
		
	",2,0,Milan,4-2-3-1,2,1.9,"
		
			 Daniel Maldini á 48&rsquor;
		
			 Brahim Daz á 86&rsquor;
		
	",2,0,https://fbref.com/en/matches/8f05af5a/Spezia-Milan-September-25-2021-Serie-A,Milan,Away,990,2,2,0,0,18,5,2,0,664,160,26,10,13,1.9,1.9,1.6,29,4,461,557,82.8,34,436,54,11,25,461,557,82.8,9068,2926,183,211,86.7,199,221,90.0,71,105,67.6,2,1.6,13,36,11,4,34,557,504,53,14,0,47,19,12,4,0,3,0,378,91,88,162,340,17,27,6,461,3,5,24,10,26,14,13,9,4,8,12,66.7,4,160,51,31.9,47,64,49,13,4,0,9,10,36,5,0,664,58,201,338,173,34,613,11,25,44.0,16,2,436,2671,1527,54,13,9,15,2,551,461,83.7,34,2,0,0,12,13,3,12,10,14,0,0,0,69,10,16,38.5,0,0,0,A,70000000,466600000,-1.8969771175379706
Serie A,M,ITA,2021-2022,2021-09-25,6,Spezia,4-1-4-1,1,0.9,"
		
			Daniele Verde á 80&rsquor; 
		
	",2,0,Milan,4-2-3-1,2,1.9,"
		
			 Daniel Maldini á 48&rsquor;
		
			 Brahim Daz á 86&rsquor;
		
	",2,0,https://fbref.com/en/matches/8f05af5a/Spezia-Milan-September-25-2021-Serie-A,Spezia,Home,990,1,0,0,0,8,2,2,0,444,127,11,25,13,0.9,0.9,0.8,11,2,242,319,75.9,24,268,32,4,12,242,319,75.9,4600,2003,100,111,90.1,102,125,81.6,30,66,45.5,0,0.8,6,16,9,2,24,319,268,51,15,2,68,10,10,2,2,0,0,192,53,74,106,175,4,22,6,242,2,10,9,8,11,7,5,5,1,9,25,36.0,16,127,32,25.2,52,55,20,13,4,0,9,25,36,30,0,444,68,188,174,113,21,396,4,12,33.3,4,0,268,1476,790,32,9,3,12,18,301,242,80.4,24,2,0,0,13,12,3,10,25,7,0,0,0,59,16,10,61.5,0,0,0,A,70000000,466600000,-1.8969771175379706
Serie A,M,ITA,2021-2022,2021-10-03,7,Atalanta,3-4-1-2,2,2.1,"
		
			Duvn Zapata (P) á 86&rsquor; 
		
			Mario Pa_ali_ á 90+4&rsquor; 
		
	",1,0,Milan,4-2-3-1,3,3.0,"
		
			 Davide Calabria á 1&rsquor;
		
			 Sandro Tonali á 43&rsquor;
		
			 Rafael Leo á 78&rsquor;
		
	",4,0,https://fbref.com/en/matches/ae7758d1/Atalanta-Milan-October-3-2021-Serie-A,Milan,Away,990,3,1,0,0,13,7,4,0,548,184,25,32,19,3.0,3.0,1.8,24,4,311,397,78.3,26,313,37,7,17,311,397,78.3,5745,2407,135,157,86.0,118,135,87.4,46,80,57.5,1,1.8,10,22,5,3,26,397,342,55,15,2,40,8,8,5,1,2,0,269,58,70,107,239,16,25,4,311,0,5,7,17,25,14,16,7,2,5,12,41.7,7,184,61,33.2,61,84,39,19,8,0,11,32,57,19,0,548,80,200,251,132,20,495,7,17,41.2,7,0,313,1911,1057,37,11,5,16,13,347,311,89.6,26,4,0,0,16,13,0,8,32,14,0,1,0,63,5,14,26.3,1,1,1,A,379900000,466600000,-0.20556429939374976
Serie A,M,ITA,2021-2022,2021-10-03,7,Atalanta,3-4-1-2,2,2.1,"
		
			Duvn Zapata (P) á 86&rsquor; 
		
			Mario Pa_ali_ á 90+4&rsquor; 
		
	",1,0,Milan,4-2-3-1,3,3.0,"
		
			 Davide Calabria á 1&rsquor;
		
			 Sandro Tonali á 43&rsquor;
		
			 Rafael Leo á 78&rsquor;
		
	",4,0,https://fbref.com/en/matches/ae7758d1/Atalanta-Milan-October-3-2021-Serie-A,Atalanta,Home,990,2,1,1,1,16,4,1,0,646,124,23,9,25,2.2,1.4,0.9,24,2,406,499,81.4,50,400,41,6,12,406,499,81.4,7879,2893,173,197,87.8,168,197,85.3,63,91,69.2,1,0.9,10,29,9,2,50,499,445,54,13,0,105,20,9,9,3,3,3,348,71,80,181,260,17,24,6,406,2,5,29,12,23,11,14,8,1,10,17,58.8,7,124,32,25.8,51,47,26,25,7,0,18,9,32,17,1,646,60,189,302,204,30,592,6,12,50.0,7,0,400,2181,1135,41,20,3,17,20,445,406,91.2,50,1,0,0,13,14,2,9,9,11,0,0,0,92,14,5,73.7,1,1,1,A,379900000,466600000,-0.20556429939374976
Serie A,M,ITA,2021-2022,2021-10-16,8,Milan,4-2-3-1,3,1.5,"
		
			Olivier Giroud á 59&rsquor; 
		
			Franck Kessi (P) á 76&rsquor; 
		
			Koray Gnter (OG) á 78&rsquor; 
		
	",1,0,Hellas Verona,03/04/03,2,1.4,"
		
			 Gianluca Caprari á 7&rsquor;
		
			 Antonn Bark (P) á 24&rsquor;
		
	",4,0,https://fbref.com/en/matches/36d9f7e2/Milan-Hellas-Verona-October-16-2021-Serie-A,Milan,Home,990,2,1,1,1,16,3,1,0,567,100,23,12,17,1.5,0.8,0.7,27,3,338,451,74.9,44,341,48,11,13,338,451,74.9,7077,2609,107,128,83.6,163,199,81.9,60,105,57.1,1,0.7,14,28,15,7,44,451,402,49,20,0,82,9,18,5,2,0,0,274,73,104,192,203,24,13,4,338,0,6,11,11,23,13,12,10,1,10,18,55.6,8,100,35,35.0,41,44,15,17,1,0,16,12,35,17,0,567,67,192,254,161,30,523,11,13,84.6,11,0,341,2365,1343,48,21,4,14,11,363,338,93.1,44,1,0,0,11,21,0,18,12,13,1,1,0,109,21,21,50.0,0,0,0,H,466600000,116530000,1.3873236090021577
Serie A,M,ITA,2021-2022,2021-10-16,8,Milan,4-2-3-1,3,1.5,"
		
			Olivier Giroud á 59&rsquor; 
		
			Franck Kessi (P) á 76&rsquor; 
		
			Koray Gnter (OG) á 78&rsquor; 
		
	",1,0,Hellas Verona,03/04/03,2,1.4,"
		
			 Gianluca Caprari á 7&rsquor;
		
			 Antonn Bark (P) á 24&rsquor;
		
	",4,0,https://fbref.com/en/matches/36d9f7e2/Milan-Hellas-Verona-October-16-2021-Serie-A,Hellas Verona,Away,990,2,1,1,1,9,4,4,0,513,182,13,11,17,1.4,0.7,0.6,16,3,285,395,72.2,38,276,26,7,18,285,395,72.2,5565,2540,127,152,83.6,109,142,76.8,45,85,52.9,1,0.6,7,21,9,2,38,395,346,49,10,1,44,11,9,4,1,2,0,226,69,100,119,206,26,21,10,285,1,7,11,15,13,11,5,6,2,2,13,15.4,11,182,53,29.1,79,70,33,17,7,0,10,11,24,27,0,513,72,169,220,154,25,466,7,18,38.9,8,0,276,1217,630,26,9,1,14,13,361,285,78.9,38,4,0,0,21,11,1,9,11,11,1,1,1,98,21,21,50.0,0,0,0,H,466600000,116530000,1.3873236090021577
